ETBL_ID,ADR_ID,ADR_GENRE_ID,ADR_GENRE_FR,ADR_GENRE_EN,ADR_PRINCIPALE,ADR_CIVIQUE,ADR_MUNICIPALITE,ADR_PROVINCE,ADR_PAYS,ADR_CODE_POSTAL,ADR_LATITUDE,ADR_LONGITUDE
500015709,500005498,7,Exploitation,Operations,1,"1189, chemin de la Carrière-à-Chaux",Duhamel-Ouest,Québec,Canada,J9V1G3,47.382181,-79.515586
281841414,281842275,7,Exploitation,Operations,1,"43, rue Ontario",Notre-Dame-du-Nord,Québec,Canada,J0Z3B0,47.5932134,-79.4906596
1001898,13332740,7,Exploitation,Operations,1,"32, rue de l' Église",Notre-Dame-du-Nord,Québec,Canada,J0Z3B0,47.592129,-79.488323
874803,20301923,7,Exploitation,Operations,1,"64, rue Principale N.",Notre-Dame-du-Nord,Québec,Canada,J0Z3B0,47.596838,-79.481953
211566709,211566889,7,Exploitation,Operations,1,"128, rue Geneviève",Duhamel-Ouest,Québec,Canada,J9V1R2,47.33831,-79.47315
271859551,271860865,7,Exploitation,Operations,1,"211, rue Dona",Duhamel-Ouest,Québec,Canada,J9V0A1,47.3067,-79.4628
274209664,274211115,7,Exploitation,Operations,1,"111, rue Marie-Josée",Duhamel-Ouest,Québec,Canada,J9V1V7,47.307579,-79.460335
175550585,175550630,7,Exploitation,Operations,1,"103, ch. de la Baie-Joannes",Saint-Bruno-de-Guigues,Québec,Canada,J0Z2G0,47.4797,-79.45957
919636,15603809,7,Exploitation,Operations,1,"862, ch. du Vieux-Fort",Duhamel-Ouest,Québec,Canada,J9V1N7,47.290098,-79.455969
11705807,11705862,7,Exploitation,Operations,1,"862, ch. du Vieux-Fort",Duhamel-Ouest,Québec,Canada,J9V1N7,47.290098,-79.455969
87809516,100510547,7,Exploitation,Operations,1,Lac Dasserat,Rouyn-Noranda,Québec,Canada,,48.2619083,-79.4508362
265435630,265453006,7,Exploitation,Operations,1,Lac Dasserat,Rouyn-Noranda,Québec,Canada,,48.26057,-79.44989
204819679,204827172,7,Exploitation,Operations,1,"14, rue Notre-Dame Nord",Ville-Marie,Québec,Canada,J9V1W7,47.331229,-79.4437312
500016021,500006312,7,Exploitation,Operations,1,"5, rue Sainte-Anne Ouest",Ville-Marie,Québec,Canada,J9V2B8,47.329553,-79.443231
3069650,15604386,7,Exploitation,Operations,1,"8, rue Notre-Dame N.",Ville-Marie,Québec,Canada,J9V1W7,47.330668,-79.443133
866706,15603328,7,Exploitation,Operations,1,"16, rue Dollard",Ville-Marie,Québec,Canada,J9V1L2,47.332877,-79.442042
861348,15603282,7,Exploitation,Operations,1,"2, ch. de Fabre",Ville-Marie,Québec,Canada,J9V1E3,47.326653,-79.441284
118407545,118407660,7,Exploitation,Operations,1,"1006, ch. du Vieux-Fort",Duhamel-Ouest,Québec,Canada,J9V1N7,47.292147,-79.437608
860754,15603281,7,Exploitation,Operations,1,"25, rue des Oblats N.",Ville-Marie,Québec,Canada,J9V1H9,47.334817,-79.437172
283699250,283702415,7,Exploitation,Operations,1,"38, rue Notre-Dame-de-Lourdes",Ville-Marie,Québec,Canada,J9V1X9,47.3337226,-79.437154
904313,15603764,7,Exploitation,Operations,1,"419, ch. de la Côte-Dubois",Duhamel-Ouest,Québec,Canada,J9V1G5,47.3023212,-79.4367143
366763029,366766872,7,Exploitation,Operations,1,"824, route 388",Rapide-Danseur,Québec,Canada,J0Z3G0,48.520224,-79.380438
11707505,11707527,7,Exploitation,Operations,1,"834, 4e-et-5e Rang O.",Roquemaure,Québec,Canada,J0Z3K0,48.632743,-79.375326
269024143,269026566,7,Exploitation,Operations,1,"1051, chemin Robert's",Rouyn-Noranda,Québec,Canada,J0Z1B0,48.185639,-79.3556803
500015007,500003739,7,Exploitation,Operations,1,Lac Berthemet,Rouyn-Noranda,Québec,Canada,J0Z1B0,48.185772,-79.354035
500015644,500005351,7,Exploitation,Operations,1,"B-2, rue Notre-Dame Ouest",Lorrainville,Québec,Canada,J0Z2R0,47.353729,-79.353738
265435689,265453023,7,Exploitation,Operations,1,Lac Berthemet,Rouyn-Noranda,Québec,Canada,,48.18604,-79.35318
11707172,11707193,7,Exploitation,Operations,1,"100, ch. du Lac-Cameron",Saint-Eugène-de-Guigues,Québec,Canada,J0Z3L0,47.507297,-79.351168
387557061,387558868,7,Exploitation,Operations,1,"1238, chemin Paquet",Rouyn-Noranda,Québec,Canada,J0Z1B0,48.190395,-79.34537
