"","Property_ID","Listing_Title","Listing_Type","Created","Scraped","Airbnb_PID","Airbnb_HID","HomeAway_PID","HomeAway_HID","winner","Permit","ETBL_ID","n_reserved","n_available","revenue","FREH","ML","LFRML","geometry","GH","Legal","n_diff"
"1","ab-1280861","Appartement 4 1/2 sur le Plateau","Entire home/apt",2019-03-13,2019-05-24,1280861,6969564,NA,NA,24661828,FALSE,NA,0,61,0,FALSE,FALSE,FALSE,c(610465.73898651, 5042746.04145395),FALSE,TRUE,48
"2","ab-1293722","Half-living in Plateau Mont-Royal","Shared room",2019-04-18,2019-05-23,1293722,6353406,NA,NA,24662027,FALSE,NA,5,16,75,FALSE,FALSE,FALSE,c(610624.083661164, 5043864.59722788),FALSE,TRUE,12
"3","ab-1370932","Bright and big spacious room in Mile End","Private room",2019-01-28,2019-02-12,1370932,7434034,NA,NA,24661431,FALSE,NA,21,103,287,FALSE,FALSE,FALSE,c(609761.860742943, 5041657.47809802),FALSE,TRUE,92
"4","ab-14370944","Luminous Mile End Room","Private room",2019-04-18,2019-05-23,14370944,20065391,NA,NA,24661380,FALSE,NA,5,19,150,FALSE,FALSE,FALSE,c(609528.805429856, 5041919.45520819),FALSE,TRUE,12
"5","ab-14574684","Private room in Montreal - Mile-End","Private room",2019-02-25,2019-04-30,14574684,6328942,NA,NA,24661430,FALSE,NA,23,75,402,FALSE,FALSE,FALSE,c(609726.572211621, 5042046.26855932),FALSE,TRUE,64
"6","ab-16983319","Chambre au centre ville Montreal #","Private room",2018-06-09,2018-06-12,16983319,113685152,NA,NA,24662114,FALSE,NA,2,332,112,FALSE,FALSE,FALSE,c(611703.298010298, 5040665.25141951),FALSE,TRUE,325
"7","ab-21026935","Beautiful Studio Downtown Montreal","Entire home/apt",2018-09-10,2018-10-05,21026935,47516185,NA,NA,24661946,FALSE,NA,32,234,1998,FALSE,FALSE,FALSE,c(611188.240956617, 5041248.87697288),FALSE,TRUE,232
"8","ab-22465476","Mile-End charming apartment","Entire home/apt",2018-07-02,2018-07-08,22465476,2729741,NA,NA,24661421,FALSE,NA,1,325,176,FALSE,TRUE,FALSE,c(610129.769399056, 5041535.0191273),FALSE,FALSE,302
"9","ab-22488303","Large apartment in downtown Montreal 6️⃣4️⃣","Entire home/apt",2019-01-21,2019-05-21,22488303,164923431,NA,NA,24661279,FALSE,NA,18,117,1312,FALSE,TRUE,FALSE,c(611224.352502852, 5040534.59676185),FALSE,FALSE,99
"10","ab-22831150","Charming One Bedroom Apartment 15Th floor","Entire home/apt",2018-07-05,2019-05-22,22831150,19144115,NA,NA,24663249,FALSE,NA,267,319,15227,TRUE,FALSE,FALSE,c(611310.281915443, 5040623.91508559),FALSE,FALSE,299
"11","ab-23221751","Fabulous HoMa Apartment at the Festivals doorstep","Entire home/apt",2018-08-02,2019-05-23,23221751,91549951,NA,NA,24661780,FALSE,NA,243,280,18457,TRUE,TRUE,TRUE,c(612513.567168134, 5043715.98203568),FALSE,FALSE,271
"12","ab-2339145","Studio Downtown Montreal","Entire home/apt",2018-12-27,2019-05-24,2339145,11943082,NA,NA,24663349,TRUE,349088785,22,144,1679,FALSE,TRUE,FALSE,c(611577.715376719, 5040919.83227126),FALSE,TRUE,124
"13","ab-23882118","Loft industriel dans le vieux Rosemont","Entire home/apt",2019-04-29,2019-05-22,23882118,57308637,NA,NA,24662024,FALSE,NA,0,19,0,FALSE,FALSE,FALSE,c(611117.038713853, 5044163.37466402),FALSE,TRUE,1
